Time index,Max intensity
0,218
1,219
2,217
3,218
4,217
5,217
6,214
7,216
8,216
9,220
10,219
11,221
12,221
13,221
14,218
15,218
16,216
17,216
18,218
19,220
20,218
21,217
22,217
23,218
24,217
25,216
26,218
27,220
28,218
29,219
30,220
31,218
32,219
33,222
34,219
35,221
36,217
37,219
38,219
39,218
40,220
41,220
42,222
43,219
44,221
45,220
46,219
47,220
48,220
49,221
50,225
51,220
52,220
53,220
54,221
55,220
56,223
57,221
58,221
59,219
60,222
61,222
62,220
63,220
64,220
65,220
66,222
67,221
68,220
69,223
70,222
71,221
72,219
73,219
74,220
75,223
76,219
77,220
78,221
79,219
80,219
81,222
82,218
83,220
84,217
85,219
86,220
87,219
88,221
89,217
90,219
91,220
92,218
93,221
94,222
95,224
96,222
97,221
98,222
99,218
100,221
101,220
102,219
103,221
104,220
105,220
106,221
107,219
108,220
109,219
110,218
111,220
112,218
113,219
114,223
115,220
116,217
117,220
118,217
119,217
120,220
121,221
122,220
123,219
124,221
125,219
126,220
127,220
128,220
129,219
130,219
131,220
132,218
133,219
134,221
135,220
136,221
137,218
138,219
139,220
140,221
141,222
142,219
143,220
144,221
145,220
146,219
147,222
148,221
149,222
150,222
151,220
152,219
153,220
154,222
155,220
156,218
157,221
158,220
159,218
160,217
161,220
162,220
163,220
164,220
165,221
166,221
167,220
168,220
169,222
170,223
171,220
172,221
173,222
174,221
175,222
176,223
177,218
178,221
179,219
180,223
181,223
182,220
183,222
184,223
185,218
186,223
187,222
188,223
189,221
190,218
191,220
192,222
193,223
194,223
195,221
196,222
197,220
198,222
199,219
200,220
201,221
202,219
203,221
204,219
205,221
206,222
207,222
208,221
209,220
210,220
211,222
212,220
213,221
214,222
215,222
216,221
217,222
218,223
219,222
220,224
221,224
222,222
223,221
224,223
225,221
226,220
227,223
228,222
229,220
230,221
231,221
232,221
233,221
234,220
235,220
236,219
237,221
238,221
239,220
240,221
241,221
242,220
243,221
244,221
245,223
246,223
247,221
248,219
249,220
250,222
251,220
252,221
253,222
254,221
255,219
256,221
257,220
258,221
259,221
260,222
261,222
262,221
263,221
264,221
265,221
266,221
267,221
268,220
269,222
270,219
271,221
272,221
273,221
274,217
275,219
276,219
277,219
278,221
279,219
280,222
281,219
282,219
283,219
284,218
285,220
286,221
287,222
288,224
289,223
290,221
291,223
292,221
293,220
294,221
295,220
296,222
297,222
298,222
299,222
