Time index,Mean intensity
0,83.343000
1,83.307000
2,83.329000
3,83.313000
4,83.321000
5,83.328000
6,83.300000
7,83.303000
8,83.313000
9,83.322000
10,83.309000
11,83.333000
12,83.307000
13,83.290000
14,83.318000
15,83.315000
16,83.315000
17,83.328000
18,83.291000
19,83.304000
20,83.319000
21,83.298000
22,83.289000
23,83.310000
24,83.300000
25,83.308000
26,83.309000
27,83.325000
28,83.309000
29,83.319000
30,83.296000
31,83.269000
32,83.324000
33,83.307000
34,83.313000
35,83.336000
36,83.347000
37,83.339000
38,83.337000
39,83.344000
40,83.352000
41,83.342000
42,83.331000
43,83.323000
44,83.317000
45,83.326000
46,83.318000
47,83.311000
48,83.306000
49,83.314000
50,83.321000
51,83.317000
52,83.341000
53,83.334000
54,83.321000
55,83.328000
56,83.322000
57,83.323000
58,83.324000
59,83.315000
60,83.295000
61,83.304000
62,83.302000
63,83.324000
64,83.316000
65,83.319000
66,83.303000
67,83.318000
68,83.326000
69,83.310000
70,83.337000
71,83.307000
72,83.286000
73,83.302000
74,83.314000
75,83.333000
76,83.338000
77,83.320000
78,83.327000
79,83.338000
80,83.299000
81,83.322000
82,83.323000
83,83.300000
84,83.309000
85,83.330000
86,83.309000
87,83.307000
88,83.324000
89,83.309000
90,83.304000
91,83.295000
92,83.301000
93,83.301000
94,83.295000
95,83.312000
96,83.295000
97,83.300000
98,83.310000
99,83.320000
100,83.301000
101,83.325000
102,83.312000
103,83.332000
104,83.334000
105,83.331000
106,83.316000
107,83.325000
108,83.327000
109,83.340000
110,83.311000
111,83.332000
112,83.323000
113,83.317000
114,83.351000
115,83.344000
116,83.345000
117,83.352000
118,83.321000
119,83.346000
120,83.342000
121,83.326000
122,83.352000
123,83.329000
124,83.337000
125,83.335000
126,83.338000
127,83.333000
128,83.333000
129,83.334000
130,83.317000
131,83.339000
132,83.329000
133,83.347000
134,83.357000
135,83.338000
136,83.326000
137,83.328000
138,83.352000
139,83.338000
140,83.324000
141,83.357000
142,83.348000
143,83.346000
144,83.341000
145,83.313000
146,83.326000
147,83.314000
148,83.327000
149,83.336000
150,83.353000
151,83.331000
152,83.342000
153,83.334000
154,83.343000
155,83.339000
156,83.329000
157,83.343000
158,83.339000
159,83.356000
160,83.345000
161,83.343000
162,83.355000
163,83.356000
164,83.371000
165,83.342000
166,83.340000
167,83.350000
168,83.345000
169,83.348000
170,83.366000
171,83.344000
172,83.352000
173,83.373000
174,83.363000
175,83.324000
176,83.345000
177,83.362000
178,83.346000
179,83.362000
180,83.352000
181,83.327000
182,83.315000
183,83.325000
184,83.336000
185,83.341000
186,83.333000
187,83.328000
188,83.316000
189,83.340000
190,83.321000
191,83.324000
192,83.331000
193,83.323000
194,83.324000
195,83.341000
196,83.339000
197,83.330000
198,83.327000
199,83.343000
200,83.318000
201,83.322000
202,83.347000
203,83.338000
204,83.329000
205,83.327000
206,83.333000
207,83.337000
208,83.366000
209,83.341000
210,83.312000
211,83.327000
212,83.336000
213,83.326000
214,83.360000
215,83.324000
216,83.366000
217,83.355000
218,83.339000
219,83.326000
220,83.347000
221,83.329000
222,83.361000
223,83.339000
224,83.328000
225,83.337000
226,83.305000
227,83.340000
228,83.308000
229,83.339000
230,83.332000
231,83.302000
232,83.340000
233,83.322000
234,83.363000
235,83.323000
236,83.361000
237,83.338000
238,83.335000
239,83.332000
240,83.334000
241,83.340000
242,83.336000
243,83.323000
244,83.346000
245,83.329000
246,83.311000
247,83.321000
248,83.334000
249,83.351000
250,83.364000
251,83.344000
252,83.355000
253,83.351000
254,83.364000
255,83.357000
256,83.347000
257,83.361000
258,83.353000
259,83.354000
260,83.346000
261,83.349000
262,83.371000
263,83.361000
264,83.332000
265,83.346000
266,83.352000
267,83.337000
268,83.338000
269,83.343000
270,83.355000
271,83.330000
272,83.350000
273,83.331000
274,83.355000
275,83.325000
276,83.351000
277,83.352000
278,83.347000
279,83.342000
280,83.362000
281,83.376000
282,83.357000
283,83.379000
284,83.377000
285,83.371000
286,83.359000
287,83.360000
288,83.370000
289,83.369000
290,83.391000
291,83.382000
292,83.361000
293,83.371000
294,83.371000
295,83.374000
296,83.357000
297,83.364000
298,83.354000
299,83.359000
