Time index,Mean pixel intensity difference
1,0.936000
2,0.943000
3,0.938000
4,0.923000
5,0.938000
6,0.943000
7,0.930000
8,0.937000
9,0.937000
10,0.937000
11,0.945000
12,0.935000
13,0.938000
14,0.939000
15,0.941000
16,0.961000
17,0.942000
18,0.960000
19,0.944000
20,0.935000
21,0.944000
22,0.942000
23,0.939000
24,0.937000
25,0.936000
26,0.949000
27,0.937000
28,0.935000
29,0.939000
30,0.943000
31,0.935000
32,0.928000
33,0.948000
34,0.940000
35,0.944000
36,0.937000
37,0.932000
38,0.938000
39,0.933000
40,0.932000
41,0.945000
42,0.933000
43,0.938000
44,0.936000
45,0.941000
46,0.946000
47,0.935000
48,0.936000
49,0.932000
50,0.933000
51,0.937000
52,0.932000
53,0.933000
54,0.938000
55,0.932000
56,0.938000
57,0.942000
58,0.937000
59,0.928000
60,0.930000
61,0.935000
62,0.938000
63,0.933000
64,0.934000
65,0.939000
66,0.933000
67,0.941000
68,0.935000
69,0.938000
70,0.930000
71,0.935000
72,0.931000
73,0.946000
74,0.941000
75,0.940000
76,0.935000
77,0.944000
78,0.941000
79,0.950000
80,0.943000
81,0.950000
82,0.941000
83,0.940000
84,0.933000
85,0.933000
86,0.941000
87,0.940000
88,0.943000
89,0.933000
90,0.936000
91,0.939000
92,0.938000
93,0.941000
94,0.944000
95,0.943000
96,0.936000
97,0.933000
98,0.934000
99,0.938000
100,0.932000
101,0.935000
102,0.937000
103,0.933000
104,0.933000
105,0.936000
106,0.933000
107,0.936000
108,0.936000
109,0.939000
110,0.933000
111,0.934000
112,0.944000
113,0.937000
114,0.941000
115,0.933000
116,0.931000
117,0.931000
118,0.944000
119,0.939000
120,0.936000
121,0.933000
122,0.941000
123,0.936000
124,0.934000
125,0.946000
126,0.929000
127,0.947000
128,0.936000
129,0.933000
130,0.932000
131,0.940000
132,0.941000
133,0.941000
134,0.934000
135,0.933000
136,0.935000
137,0.935000
138,0.938000
139,0.948000
140,0.943000
141,0.946000
142,0.942000
143,0.938000
144,0.937000
145,0.933000
146,0.948000
147,0.951000
148,0.945000
149,0.942000
150,0.939000
151,0.934000
152,0.942000
153,0.943000
154,0.935000
155,0.930000
156,0.940000
157,0.931000
158,0.938000
159,0.937000
160,0.933000
161,0.941000
162,0.939000
163,0.938000
164,0.933000
165,0.937000
166,0.935000
167,0.945000
168,0.949000
169,0.936000
170,0.941000
171,0.942000
172,0.944000
173,0.933000
174,0.925000
175,0.940000
176,0.929000
177,0.931000
178,0.929000
179,0.933000
180,0.930000
181,0.934000
182,0.934000
183,0.929000
184,0.930000
185,0.940000
186,0.929000
187,0.929000
188,0.934000
189,0.933000
190,0.936000
191,0.934000
192,0.938000
193,0.932000
194,0.935000
195,0.935000
196,0.934000
197,0.936000
198,0.935000
199,0.943000
200,0.947000
201,0.948000
202,0.944000
203,0.941000
204,0.950000
205,0.930000
206,0.948000
207,0.957000
208,0.942000
209,0.933000
210,0.957000
211,0.935000
212,0.936000
213,0.953000
214,0.931000
215,0.929000
216,0.930000
217,0.935000
218,0.932000
219,0.930000
220,0.935000
221,0.934000
222,0.968000
223,0.937000
224,0.960000
225,0.949000
226,0.937000
227,0.933000
228,0.940000
229,0.931000
230,0.938000
231,0.929000
232,0.932000
233,0.933000
234,0.925000
235,0.932000
236,0.935000
237,0.937000
238,0.940000
239,0.931000
240,0.933000
241,0.928000
242,0.930000
243,0.935000
244,0.927000
245,0.931000
246,0.919000
247,0.933000
248,0.936000
249,0.926000
250,0.935000
251,0.931000
252,0.925000
253,0.950000
254,0.950000
255,0.947000
256,0.937000
257,0.932000
258,0.937000
259,0.933000
260,0.948000
261,0.926000
262,0.926000
263,0.937000
264,0.947000
265,0.937000
266,0.944000
267,0.935000
268,0.927000
269,0.938000
270,0.931000
271,0.937000
272,0.927000
273,0.932000
274,0.927000
275,0.936000
276,0.930000
277,0.927000
278,0.930000
279,0.928000
280,0.926000
281,0.924000
282,0.936000
283,0.937000
284,0.932000
285,0.936000
286,0.929000
287,0.933000
288,0.932000
289,0.930000
290,0.926000
291,0.934000
292,0.933000
293,0.923000
294,0.924000
295,0.937000
296,0.931000
297,0.927000
298,0.928000
299,0.926000
