Time index,Proportion of dense image blocks
0,0.047000
1,0.031000
2,0.031000
3,0.031000
4,0.047000
5,0.047000
6,0.047000
7,0.047000
8,0.047000
9,0.047000
10,0.047000
11,0.047000
12,0.047000
13,0.031000
14,0.031000
15,0.031000
16,0.031000
17,0.031000
18,0.031000
19,0.047000
20,0.047000
21,0.031000
22,0.031000
23,0.031000
24,0.031000
25,0.047000
26,0.047000
27,0.047000
28,0.047000
29,0.031000
30,0.031000
31,0.031000
32,0.047000
33,0.047000
34,0.031000
35,0.031000
36,0.031000
37,0.031000
38,0.031000
39,0.031000
40,0.031000
41,0.031000
42,0.031000
43,0.031000
44,0.031000
45,0.016000
46,0.016000
47,0.016000
48,0.016000
49,0.016000
50,0.016000
51,0.016000
52,0.016000
53,0.016000
54,0.016000
55,0.016000
56,0.016000
57,0.016000
58,0.016000
59,0.016000
60,0.016000
61,0.016000
62,0.016000
63,0.016000
64,0.016000
65,0.016000
66,0.016000
67,0.016000
68,0.016000
69,0.016000
70,0.016000
71,0.016000
72,0.016000
73,0.016000
74,0.016000
75,0.016000
76,0.016000
77,0.016000
78,0.016000
79,0.016000
80,0.016000
81,0.031000
82,0.031000
83,0.031000
84,0.031000
85,0.047000
86,0.047000
87,0.031000
88,0.031000
89,0.047000
90,0.062000
91,0.047000
92,0.062000
93,0.062000
94,0.047000
95,0.031000
96,0.047000
97,0.047000
98,0.047000
99,0.047000
100,0.047000
101,0.047000
102,0.031000
103,0.031000
104,0.031000
105,0.031000
106,0.031000
107,0.047000
108,0.031000
109,0.031000
110,0.016000
111,0.031000
112,0.031000
113,0.031000
114,0.031000
115,0.031000
116,0.031000
117,0.031000
118,0.047000
119,0.047000
120,0.031000
121,0.031000
122,0.031000
123,0.016000
124,0.016000
125,0.016000
126,0.031000
127,0.016000
128,0.047000
129,0.047000
130,0.016000
131,0.031000
132,0.016000
133,0.016000
134,0.031000
135,0.016000
136,0.031000
137,0.047000
138,0.031000
139,0.031000
140,0.047000
141,0.047000
142,0.047000
143,0.047000
144,0.047000
145,0.047000
146,0.047000
147,0.047000
148,0.047000
149,0.047000
150,0.047000
151,0.047000
152,0.047000
153,0.047000
154,0.047000
155,0.016000
156,0.031000
157,0.031000
158,0.031000
159,0.031000
160,0.031000
161,0.031000
162,0.031000
163,0.047000
164,0.031000
165,0.031000
166,0.031000
167,0.031000
168,0.031000
169,0.016000
170,0.016000
171,0.016000
172,0.031000
173,0.031000
174,0.031000
175,0.031000
176,0.047000
177,0.047000
178,0.047000
179,0.047000
180,0.031000
181,0.047000
182,0.047000
183,0.047000
184,0.047000
185,0.047000
186,0.047000
187,0.047000
188,0.031000
189,0.047000
190,0.047000
191,0.047000
192,0.031000
193,0.031000
194,0.031000
195,0.031000
196,0.031000
197,0.031000
198,0.031000
199,0.031000
200,0.031000
201,0.031000
202,0.031000
203,0.031000
204,0.031000
205,0.031000
206,0.031000
207,0.047000
208,0.016000
209,0.047000
210,0.047000
211,0.031000
212,0.031000
213,0.016000
214,0.016000
215,0.031000
216,0.031000
217,0.031000
218,0.031000
219,0.031000
220,0.031000
221,0.031000
222,0.031000
223,0.031000
224,0.031000
225,0.031000
226,0.031000
227,0.031000
228,0.031000
229,0.031000
230,0.031000
231,0.031000
232,0.031000
233,0.031000
234,0.031000
235,0.062000
236,0.062000
237,0.062000
238,0.047000
239,0.047000
240,0.047000
241,0.047000
242,0.047000
243,0.047000
244,0.047000
245,0.031000
246,0.047000
247,0.062000
248,0.047000
249,0.047000
250,0.047000
251,0.062000
252,0.047000
253,0.047000
254,0.047000
255,0.047000
256,0.047000
257,0.047000
258,0.047000
259,0.031000
260,0.031000
261,0.031000
262,0.047000
263,0.031000
264,0.031000
265,0.031000
266,0.031000
267,0.047000
268,0.031000
269,0.031000
270,0.031000
271,0.031000
272,0.047000
273,0.047000
274,0.047000
275,0.047000
276,0.047000
277,0.062000
278,0.062000
279,0.062000
280,0.062000
281,0.047000
282,0.031000
283,0.031000
284,0.047000
285,0.047000
286,0.062000
287,0.047000
288,0.047000
289,0.047000
290,0.062000
291,0.078000
292,0.062000
293,0.062000
294,0.078000
295,0.078000
296,0.062000
297,0.062000
298,0.062000
299,0.062000
