Time index,Mean intensity
0,68.589000
1,68.574000
2,68.584000
3,68.599000
4,68.582000
5,68.575000
6,68.595000
7,68.592000
8,68.610000
9,68.630000
10,68.622000
11,68.632000
12,68.633000
13,68.607000
14,68.618000
15,68.594000
16,68.599000
17,68.618000
18,68.602000
19,68.614000
20,68.594000
21,68.618000
22,68.595000
23,68.584000
24,68.596000
25,68.598000
26,68.578000
27,68.581000
28,68.597000
29,68.602000
30,68.589000
31,68.615000
32,68.616000
33,68.618000
34,68.625000
35,68.598000
36,68.637000
37,68.625000
38,68.596000
39,68.602000
40,68.588000
41,68.605000
42,68.648000
43,68.593000
44,68.606000
45,68.607000
46,68.591000
47,68.609000
48,68.612000
49,68.617000
50,68.589000
51,68.615000
52,68.627000
53,68.601000
54,68.624000
55,68.600000
56,68.633000
57,68.602000
58,68.595000
59,68.610000
60,68.625000
61,68.626000
62,68.591000
63,68.622000
64,68.596000
65,68.633000
66,68.648000
67,68.633000
68,68.630000
69,68.602000
70,68.602000
71,68.616000
72,68.616000
73,68.630000
74,68.641000
75,68.629000
76,68.623000
77,68.624000
78,68.623000
79,68.652000
80,68.656000
81,68.645000
82,68.635000
83,68.625000
84,68.620000
85,68.628000
86,68.596000
87,68.598000
88,68.629000
89,68.608000
90,68.608000
91,68.654000
92,68.640000
93,68.599000
94,68.617000
95,68.634000
96,68.643000
97,68.616000
98,68.652000
99,68.650000
100,68.668000
101,68.654000
102,68.667000
103,68.645000
104,68.649000
105,68.633000
106,68.618000
107,68.637000
108,68.621000
109,68.651000
110,68.652000
111,68.623000
112,68.625000
113,68.661000
114,68.657000
115,68.625000
116,68.640000
117,68.621000
118,68.621000
119,68.616000
120,68.646000
121,68.622000
122,68.630000
123,68.626000
124,68.594000
125,68.616000
126,68.614000
127,68.591000
128,68.625000
129,68.641000
130,68.625000
131,68.662000
132,68.651000
133,68.635000
134,68.657000
135,68.657000
136,68.673000
137,68.673000
138,68.623000
139,68.656000
140,68.664000
141,68.653000
142,68.642000
143,68.652000
144,68.649000
145,68.656000
146,68.676000
147,68.658000
148,68.652000
149,68.684000
150,68.648000
151,68.659000
152,68.668000
153,68.679000
154,68.682000
155,68.689000
156,68.668000
157,68.684000
158,68.699000
159,68.670000
160,68.672000
161,68.670000
162,68.648000
163,68.683000
164,68.695000
165,68.656000
166,68.672000
167,68.663000
168,68.647000
169,68.660000
170,68.636000
171,68.630000
172,68.658000
173,68.661000
174,68.665000
175,68.673000
176,68.653000
177,68.645000
178,68.647000
179,68.641000
180,68.600000
181,68.637000
182,68.644000
183,68.642000
184,68.647000
185,68.637000
186,68.646000
187,68.635000
188,68.637000
189,68.628000
190,68.652000
191,68.654000
192,68.648000
193,68.668000
194,68.653000
195,68.648000
196,68.636000
197,68.660000
198,68.663000
199,68.684000
200,68.671000
201,68.647000
202,68.638000
203,68.642000
204,68.640000
205,68.648000
206,68.631000
207,68.633000
208,68.652000
209,68.674000
210,68.686000
211,68.643000
212,68.641000
213,68.658000
214,68.656000
215,68.663000
216,68.642000
217,68.653000
218,68.671000
219,68.669000
220,68.635000
221,68.628000
222,68.668000
223,68.641000
224,68.677000
225,68.649000
226,68.643000
227,68.650000
228,68.642000
229,68.663000
230,68.676000
231,68.682000
232,68.660000
233,68.650000
234,68.652000
235,68.683000
236,68.638000
237,68.626000
238,68.647000
239,68.664000
240,68.657000
241,68.648000
242,68.656000
243,68.667000
244,68.662000
245,68.691000
246,68.621000
247,68.661000
248,68.658000
249,68.634000
250,68.666000
251,68.659000
252,68.655000
253,68.638000
254,68.682000
255,68.673000
256,68.663000
257,68.674000
258,68.711000
259,68.701000
260,68.663000
261,68.658000
262,68.699000
263,68.695000
264,68.704000
265,68.695000
266,68.683000
267,68.690000
268,68.664000
269,68.651000
270,68.647000
271,68.661000
272,68.657000
273,68.657000
274,68.676000
275,68.670000
276,68.680000
277,68.669000
278,68.674000
279,68.663000
280,68.670000
281,68.674000
282,68.684000
283,68.725000
284,68.698000
285,68.683000
286,68.702000
287,68.696000
288,68.681000
289,68.697000
290,68.710000
291,68.693000
292,68.679000
293,68.696000
294,68.668000
295,68.656000
296,68.636000
297,68.654000
298,68.669000
299,68.651000
