Time index,Mean intensity
0,68.778000
1,68.770000
2,68.774000
3,68.788000
4,68.768000
5,68.783000
6,68.772000
7,68.777000
8,68.764000
9,68.790000
10,68.781000
11,68.784000
12,68.795000
13,68.791000
14,68.769000
15,68.779000
16,68.791000
17,68.801000
18,68.792000
19,68.819000
20,68.794000
21,68.796000
22,68.805000
23,68.804000
24,68.818000
25,68.810000
26,68.810000
27,68.802000
28,68.818000
29,68.818000
30,68.804000
31,68.839000
32,68.832000
33,68.837000
34,68.822000
35,68.823000
36,68.834000
37,68.820000
38,68.803000
39,68.820000
40,68.834000
41,68.826000
42,68.823000
43,68.801000
44,68.797000
45,68.783000
46,68.807000
47,68.816000
48,68.797000
49,68.827000
50,68.812000
51,68.814000
52,68.808000
53,68.809000
54,68.816000
55,68.811000
56,68.799000
57,68.818000
58,68.831000
59,68.821000
60,68.833000
61,68.819000
62,68.831000
63,68.826000
64,68.835000
65,68.846000
66,68.839000
67,68.837000
68,68.832000
69,68.822000
70,68.849000
71,68.867000
72,68.851000
73,68.849000
74,68.833000
75,68.833000
76,68.852000
77,68.838000
78,68.821000
79,68.808000
80,68.853000
81,68.854000
82,68.843000
83,68.849000
84,68.856000
85,68.842000
86,68.844000
87,68.830000
88,68.851000
89,68.868000
90,68.857000
91,68.858000
92,68.830000
93,68.846000
94,68.848000
95,68.832000
96,68.841000
97,68.839000
98,68.840000
99,68.850000
100,68.829000
101,68.835000
102,68.824000
103,68.838000
104,68.838000
105,68.876000
106,68.841000
107,68.891000
108,68.900000
109,68.875000
110,68.858000
111,68.887000
112,68.855000
113,68.868000
114,68.873000
115,68.838000
116,68.856000
117,68.860000
118,68.859000
119,68.872000
120,68.850000
121,68.853000
122,68.858000
123,68.837000
124,68.857000
125,68.854000
126,68.854000
127,68.847000
128,68.863000
129,68.864000
130,68.878000
131,68.889000
132,68.863000
133,68.860000
134,68.876000
135,68.863000
136,68.845000
137,68.870000
138,68.850000
139,68.826000
140,68.866000
141,68.860000
142,68.883000
143,68.885000
144,68.882000
145,68.857000
146,68.870000
147,68.863000
148,68.885000
149,68.867000
150,68.869000
151,68.890000
152,68.856000
153,68.891000
154,68.875000
155,68.883000
156,68.882000
157,68.872000
158,68.902000
159,68.874000
160,68.871000
161,68.893000
162,68.877000
163,68.873000
164,68.875000
165,68.895000
166,68.860000
167,68.873000
168,68.871000
169,68.875000
170,68.884000
171,68.883000
172,68.878000
173,68.900000
174,68.889000
175,68.879000
176,68.904000
177,68.894000
178,68.866000
179,68.869000
180,68.902000
181,68.894000
182,68.882000
183,68.890000
184,68.878000
185,68.884000
186,68.894000
187,68.874000
188,68.881000
189,68.877000
190,68.888000
191,68.841000
192,68.878000
193,68.874000
194,68.858000
195,68.864000
196,68.887000
197,68.859000
198,68.874000
199,68.899000
200,68.897000
201,68.929000
202,68.886000
203,68.876000
204,68.851000
205,68.882000
206,68.856000
207,68.866000
208,68.865000
209,68.866000
210,68.879000
211,68.859000
212,68.883000
213,68.894000
214,68.865000
215,68.861000
216,68.855000
217,68.874000
218,68.836000
219,68.842000
220,68.856000
221,68.891000
222,68.885000
223,68.861000
224,68.855000
225,68.876000
226,68.833000
227,68.866000
228,68.881000
229,68.865000
230,68.862000
231,68.849000
232,68.836000
233,68.843000
234,68.822000
235,68.847000
236,68.854000
237,68.861000
238,68.861000
239,68.852000
240,68.856000
241,68.865000
242,68.872000
243,68.853000
244,68.875000
245,68.859000
246,68.863000
247,68.875000
248,68.891000
249,68.865000
250,68.843000
251,68.848000
252,68.851000
253,68.844000
254,68.836000
255,68.834000
256,68.819000
257,68.837000
258,68.825000
259,68.823000
260,68.814000
261,68.818000
262,68.807000
263,68.796000
264,68.811000
265,68.801000
266,68.786000
267,68.803000
268,68.798000
269,68.806000
270,68.805000
271,68.808000
272,68.801000
273,68.803000
274,68.797000
275,68.840000
276,68.820000
277,68.803000
278,68.816000
279,68.828000
280,68.845000
281,68.823000
282,68.846000
283,68.844000
284,68.809000
285,68.805000
286,68.816000
287,68.813000
288,68.809000
289,68.790000
290,68.805000
291,68.793000
292,68.814000
293,68.797000
294,68.783000
295,68.794000
296,68.783000
297,68.799000
298,68.776000
299,68.794000
