Time index,Mean pixel intensity difference
1,1.383000
2,1.336000
3,1.423000
4,1.332000
5,1.334000
6,1.316000
7,1.317000
8,1.325000
9,1.367000
10,1.348000
11,1.348000
12,1.333000
13,1.336000
14,1.344000
15,1.421000
16,1.340000
17,1.340000
18,1.562000
19,1.380000
20,1.339000
21,1.321000
22,1.307000
23,1.355000
24,1.334000
25,1.355000
26,1.429000
27,1.403000
28,1.313000
29,1.306000
30,1.312000
31,1.310000
32,1.312000
33,1.397000
34,1.305000
35,1.312000
36,1.467000
37,1.390000
38,1.343000
39,1.341000
40,1.318000
41,1.312000
42,1.311000
43,1.309000
44,1.297000
45,1.303000
46,1.311000
47,1.329000
48,1.321000
49,1.369000
50,1.282000
51,1.286000
52,1.275000
53,1.281000
54,1.277000
55,1.267000
56,1.255000
57,1.274000
58,1.258000
59,1.264000
60,1.267000
61,1.280000
62,1.252000
63,1.281000
64,1.283000
65,1.269000
66,1.243000
67,1.249000
68,1.261000
69,1.245000
70,1.250000
71,1.251000
72,1.277000
73,1.263000
74,1.294000
75,1.440000
76,1.254000
77,1.253000
78,1.275000
79,1.260000
80,1.267000
81,1.272000
82,1.255000
83,1.270000
84,1.279000
85,1.255000
86,1.306000
87,1.386000
88,1.287000
89,1.291000
90,1.272000
91,1.259000
92,1.307000
93,1.307000
94,1.271000
95,1.261000
96,1.399000
97,1.262000
98,1.351000
99,1.287000
100,1.286000
101,1.305000
102,1.275000
103,1.351000
104,1.259000
105,1.275000
106,1.282000
107,1.431000
108,1.376000
109,1.345000
110,1.268000
111,1.269000
112,1.269000
113,1.244000
114,1.261000
115,1.267000
116,1.344000
117,1.241000
118,1.253000
119,1.242000
120,1.255000
121,1.258000
122,1.257000
123,1.268000
124,1.270000
125,1.251000
126,1.270000
127,1.259000
128,1.262000
129,1.311000
130,1.289000
131,1.315000
132,1.272000
133,1.276000
134,1.235000
135,1.255000
136,1.308000
137,1.255000
138,1.251000
139,1.259000
140,1.251000
141,1.257000
142,1.247000
143,1.247000
144,1.278000
145,1.284000
146,1.274000
147,1.257000
148,1.271000
149,1.262000
150,1.259000
151,1.258000
152,1.246000
153,1.274000
154,1.268000
155,1.282000
156,1.237000
157,1.265000
158,1.300000
159,1.278000
160,1.264000
161,1.285000
162,1.278000
163,1.291000
164,1.266000
165,1.261000
166,1.285000
167,1.289000
168,1.247000
169,1.264000
170,1.260000
171,1.276000
172,1.261000
173,1.272000
174,1.289000
175,1.272000
176,1.275000
177,1.278000
178,1.260000
179,1.266000
180,1.263000
181,1.262000
182,1.253000
183,1.244000
184,1.260000
185,1.258000
186,1.262000
187,1.270000
188,1.256000
189,1.268000
190,1.272000
191,1.274000
192,1.281000
193,1.274000
194,1.271000
195,1.268000
196,1.255000
197,1.266000
198,1.264000
199,1.264000
200,1.260000
201,1.277000
202,1.275000
203,1.262000
204,1.278000
205,1.257000
206,1.274000
207,1.272000
208,1.250000
209,1.273000
210,1.281000
211,1.279000
212,1.268000
213,1.292000
214,1.307000
215,1.307000
216,1.274000
217,1.301000
218,1.283000
219,1.279000
220,1.287000
221,1.276000
222,1.340000
223,1.281000
224,1.305000
225,1.291000
226,1.276000
227,1.307000
228,1.284000
229,1.301000
230,1.281000
231,1.307000
232,1.301000
233,1.359000
234,1.416000
235,1.357000
236,1.345000
237,1.328000
238,1.389000
239,1.439000
240,1.301000
241,1.317000
242,1.304000
243,1.344000
244,1.299000
245,1.316000
246,1.372000
247,1.364000
248,1.298000
249,1.295000
250,1.303000
251,1.375000
252,1.313000
253,1.303000
254,1.289000
255,1.281000
256,1.289000
257,1.289000
258,1.305000
259,1.304000
260,1.320000
261,1.322000
262,1.476000
263,1.347000
264,1.555000
265,1.301000
266,1.350000
267,1.317000
268,1.325000
269,1.358000
270,1.312000
271,1.321000
272,1.329000
273,1.370000
274,1.295000
275,1.300000
276,1.370000
277,1.339000
278,1.316000
279,1.384000
280,1.315000
281,1.584000
282,1.350000
283,1.334000
284,1.310000
285,1.299000
286,1.344000
287,1.296000
288,1.301000
289,1.305000
290,1.317000
291,1.303000
292,1.337000
293,1.300000
294,1.304000
295,1.277000
296,1.290000
297,1.276000
298,1.270000
299,1.279000
