Time index,Mean pixel intensity difference
1,0.781000
2,0.729000
3,0.693000
4,0.687000
5,0.725000
6,0.712000
7,0.693000
8,0.701000
9,0.711000
10,0.716000
11,0.709000
12,0.727000
13,0.694000
14,0.775000
15,0.692000
16,0.698000
17,0.704000
18,0.751000
19,0.686000
20,0.702000
21,0.693000
22,0.757000
23,0.717000
24,0.731000
25,0.690000
26,0.686000
27,0.697000
28,0.688000
29,0.706000
30,0.727000
31,0.691000
32,0.692000
33,0.701000
34,0.680000
35,0.678000
36,0.751000
37,0.685000
38,0.696000
39,0.693000
40,0.700000
41,0.758000
42,0.746000
43,0.699000
44,0.700000
45,0.689000
46,0.679000
47,0.711000
48,0.701000
49,0.743000
50,0.688000
51,0.701000
52,0.703000
53,0.823000
54,0.748000
55,0.712000
56,0.719000
57,0.697000
58,0.689000
59,0.693000
60,0.711000
61,0.703000
62,0.730000
63,0.720000
64,0.733000
65,0.726000
66,0.747000
67,0.717000
68,0.698000
69,0.722000
70,0.752000
71,0.758000
72,0.740000
73,0.742000
74,0.718000
75,0.713000
76,0.752000
77,0.770000
78,0.742000
79,0.723000
80,0.706000
81,0.699000
82,0.733000
83,0.766000
84,0.776000
85,0.756000
86,0.725000
87,0.701000
88,0.716000
89,0.726000
90,0.715000
91,0.738000
92,0.741000
93,0.743000
94,0.794000
95,0.780000
96,0.743000
97,0.710000
98,0.762000
99,0.764000
100,0.714000
101,0.735000
102,0.715000
103,0.745000
104,0.776000
105,0.865000
106,0.742000
107,0.709000
108,0.777000
109,0.709000
110,0.723000
111,0.745000
112,0.772000
113,0.789000
114,0.768000
115,0.751000
116,0.737000
117,0.733000
118,0.740000
119,0.744000
120,0.811000
121,0.729000
122,0.702000
123,0.712000
124,0.724000
125,0.742000
126,0.746000
127,0.752000
128,0.752000
129,0.769000
130,0.768000
131,0.717000
132,0.718000
133,0.740000
134,0.874000
135,0.769000
136,0.745000
137,0.734000
138,0.741000
139,0.822000
140,0.774000
141,0.784000
142,0.753000
143,0.747000
144,0.715000
145,0.797000
146,0.800000
147,0.763000
148,0.920000
149,0.767000
150,0.863000
151,0.727000
152,0.846000
153,0.749000
154,0.759000
155,0.740000
156,0.750000
157,0.745000
158,0.746000
159,0.770000
160,0.713000
161,0.725000
162,0.733000
163,0.719000
164,0.707000
165,0.713000
166,0.748000
167,0.721000
168,0.811000
169,0.735000
170,0.737000
171,0.738000
172,0.738000
173,0.720000
174,0.793000
175,0.721000
176,0.732000
177,0.713000
178,0.719000
179,0.712000
180,0.725000
181,0.728000
182,0.731000
183,0.758000
184,0.742000
185,0.728000
186,0.731000
187,0.728000
188,0.734000
189,0.738000
190,0.737000
191,0.742000
192,0.769000
193,0.726000
194,0.735000
195,0.760000
196,0.753000
197,0.758000
198,0.740000
199,0.755000
200,0.739000
201,0.795000
202,0.762000
203,0.739000
204,0.748000
205,0.745000
206,0.748000
207,0.744000
208,0.764000
209,0.787000
210,0.849000
211,0.809000
212,0.837000
213,0.755000
214,0.756000
215,0.768000
216,0.790000
217,0.806000
218,0.786000
219,0.755000
220,0.749000
221,0.756000
222,0.778000
223,0.778000
224,0.751000
225,0.737000
226,0.750000
227,0.781000
228,0.724000
229,0.767000
230,0.762000
231,0.803000
232,0.753000
233,0.787000
234,0.747000
235,0.724000
236,0.757000
237,0.730000
238,0.749000
239,0.730000
240,0.731000
241,0.724000
242,0.727000
243,0.745000
244,0.792000
245,0.757000
246,0.752000
247,0.728000
248,0.751000
249,0.725000
250,0.739000
251,0.768000
252,0.767000
253,0.769000
254,0.748000
255,0.760000
256,0.732000
257,0.738000
258,0.757000
259,0.768000
260,0.756000
261,0.719000
262,0.724000
263,0.760000
264,0.749000
265,0.771000
266,0.791000
267,0.771000
268,0.744000
269,0.777000
270,0.725000
271,0.759000
272,0.780000
273,0.807000
274,0.787000
275,0.734000
276,0.718000
277,0.727000
278,0.795000
279,0.790000
280,0.844000
281,0.787000
282,0.776000
283,0.889000
284,0.729000
285,0.904000
286,0.812000
287,0.803000
288,0.795000
289,0.810000
290,0.756000
291,0.789000
292,0.732000
293,0.852000
294,0.780000
295,0.876000
296,0.755000
297,0.790000
298,0.756000
299,0.760000
