Time index,Max intensity
0,170
1,174
2,169
3,171
4,172
5,173
6,170
7,171
8,170
9,173
10,173
11,171
12,171
13,171
14,168
15,171
16,169
17,170
18,169
19,171
20,171
21,168
22,169
23,169
24,170
25,171
26,166
27,166
28,169
29,170
30,172
31,171
32,175
33,172
34,174
35,174
36,169
37,173
38,176
39,171
40,173
41,169
42,172
43,170
44,171
45,174
46,173
47,171
48,172
49,174
50,169
51,169
52,171
53,174
54,169
55,172
56,174
57,169
58,168
59,167
60,166
61,172
62,166
63,168
64,166
65,163
66,174
67,171
68,167
69,167
70,170
71,168
72,166
73,169
74,168
75,169
76,169
77,169
78,170
79,171
80,170
81,170
82,169
83,172
84,171
85,171
86,174
87,171
88,171
89,172
90,172
91,169
92,167
93,168
94,168
95,169
96,171
97,171
98,171
99,169
100,169
101,170
102,169
103,169
104,170
105,169
106,169
107,171
108,169
109,171
110,173
111,171
112,166
113,168
114,168
115,169
116,171
117,172
118,169
119,170
120,171
121,170
122,171
123,174
124,173
125,173
126,171
127,175
128,177
129,175
130,174
131,174
132,174
133,172
134,173
135,171
136,171
137,173
138,172
139,174
140,171
141,172
142,173
143,174
144,171
145,171
146,173
147,173
148,173
149,174
150,173
151,171
152,171
153,172
154,171
155,172
156,173
157,171
158,171
159,173
160,169
161,172
162,176
163,174
164,172
165,171
166,173
167,173
168,170
169,174
170,172
171,169
172,170
173,171
174,176
175,172
176,170
177,172
178,172
179,171
180,171
181,170
182,172
183,171
184,171
185,172
186,175
187,175
188,172
189,171
190,171
191,169
192,170
193,171
194,172
195,172
196,171
197,175
198,171
199,169
200,175
201,176
202,175
203,173
204,171
205,174
206,170
207,173
208,174
209,175
210,176
211,174
212,170
213,172
214,175
215,176
216,173
217,175
218,178
219,176
220,173
221,172
222,169
223,171
224,169
225,171
226,171
227,171
228,169
229,172
230,178
231,180
232,174
233,174
234,173
235,175
236,180
237,173
238,174
239,172
240,175
241,171
242,171
243,176
244,174
245,174
246,175
247,174
248,175
249,174
250,176
251,175
252,175
253,175
254,173
255,174
256,177
257,174
258,175
259,175
260,175
261,176
262,176
263,175
264,176
265,173
266,176
267,171
268,172
269,177
270,180
271,176
272,175
273,176
274,177
275,172
276,174
277,173
278,170
279,171
280,174
281,174
282,175
283,176
284,175
285,175
286,176
287,173
288,175
289,177
290,179
291,179
292,175
293,173
294,176
295,175
296,170
297,170
298,175
299,171
