Time index,Mean intensity
0,70.966000
1,70.988000
2,71.003000
3,70.995000
4,70.953000
5,70.951000
6,70.993000
7,70.989000
8,70.973000
9,70.995000
10,70.972000
11,70.970000
12,71.002000
13,70.984000
14,71.030000
15,71.012000
16,71.003000
17,71.023000
18,71.020000
19,71.029000
20,71.034000
21,71.023000
22,71.014000
23,71.009000
24,71.001000
25,71.020000
26,71.039000
27,71.042000
28,71.027000
29,71.028000
30,71.029000
31,71.021000
32,71.049000
33,71.024000
34,71.041000
35,71.040000
36,71.044000
37,71.030000
38,71.047000
39,71.035000
40,71.030000
41,71.033000
42,71.023000
43,71.007000
44,71.039000
45,71.033000
46,71.039000
47,71.053000
48,71.043000
49,71.041000
50,71.071000
51,71.054000
52,71.026000
53,71.019000
54,71.047000
55,71.056000
56,71.049000
57,71.045000
58,71.064000
59,71.041000
60,71.034000
61,71.010000
62,71.039000
63,71.045000
64,71.012000
65,71.032000
66,71.049000
67,71.054000
68,71.066000
69,71.036000
70,71.016000
71,71.041000
72,71.037000
73,71.064000
74,71.037000
75,71.060000
76,71.035000
77,71.035000
78,71.024000
79,71.058000
80,71.065000
81,71.039000
82,71.042000
83,71.044000
84,71.044000
85,71.014000
86,71.043000
87,71.055000
88,71.036000
89,71.059000
90,71.054000
91,71.085000
92,71.066000
93,71.049000
94,71.071000
95,71.066000
96,71.063000
97,71.059000
98,71.037000
99,71.075000
100,71.064000
101,71.075000
102,71.060000
103,71.096000
104,71.101000
105,71.101000
106,71.082000
107,71.075000
108,71.085000
109,71.068000
110,71.071000
111,71.083000
112,71.071000
113,71.043000
114,71.056000
115,71.085000
116,71.089000
117,71.081000
118,71.097000
119,71.098000
120,71.085000
121,71.084000
122,71.093000
123,71.096000
124,71.114000
125,71.085000
126,71.111000
127,71.104000
128,71.063000
129,71.102000
130,71.098000
131,71.099000
132,71.096000
133,71.077000
134,71.103000
135,71.090000
136,71.112000
137,71.082000
138,71.116000
139,71.119000
140,71.122000
141,71.121000
142,71.114000
143,71.117000
144,71.114000
145,71.101000
146,71.125000
147,71.102000
148,71.145000
149,71.139000
150,71.113000
151,71.133000
152,71.145000
153,71.138000
154,71.155000
155,71.130000
156,71.158000
157,71.145000
158,71.146000
159,71.140000
160,71.159000
161,71.151000
162,71.153000
163,71.142000
164,71.162000
165,71.164000
166,71.142000
167,71.138000
168,71.170000
169,71.178000
170,71.164000
171,71.158000
172,71.164000
173,71.176000
174,71.190000
175,71.178000
176,71.170000
177,71.171000
178,71.190000
179,71.154000
180,71.171000
181,71.177000
182,71.173000
183,71.166000
184,71.158000
185,71.169000
186,71.145000
187,71.183000
188,71.159000
189,71.172000
190,71.144000
191,71.176000
192,71.203000
193,71.157000
194,71.179000
195,71.190000
196,71.190000
197,71.188000
198,71.211000
199,71.187000
200,71.183000
201,71.170000
202,71.190000
203,71.188000
204,71.189000
205,71.197000
206,71.193000
207,71.178000
208,71.191000
209,71.201000
210,71.187000
211,71.179000
212,71.209000
213,71.207000
214,71.202000
215,71.217000
216,71.214000
217,71.223000
218,71.232000
219,71.206000
220,71.207000
221,71.240000
222,71.208000
223,71.209000
224,71.218000
225,71.239000
226,71.244000
227,71.222000
228,71.225000
229,71.235000
230,71.231000
231,71.238000
232,71.239000
233,71.228000
234,71.245000
235,71.221000
236,71.203000
237,71.233000
238,71.225000
239,71.215000
240,71.230000
241,71.222000
242,71.210000
243,71.208000
244,71.225000
245,71.246000
246,71.241000
247,71.240000
248,71.211000
249,71.223000
250,71.241000
251,71.245000
252,71.215000
253,71.193000
254,71.196000
255,71.218000
256,71.189000
257,71.230000
258,71.226000
259,71.198000
260,71.212000
261,71.212000
262,71.221000
263,71.231000
264,71.229000
265,71.247000
266,71.244000
267,71.268000
268,71.281000
269,71.274000
270,71.230000
271,71.233000
272,71.247000
273,71.256000
274,71.233000
275,71.257000
276,71.231000
277,71.231000
278,71.248000
279,71.238000
280,71.256000
281,71.252000
282,71.292000
283,71.268000
284,71.271000
285,71.252000
286,71.266000
287,71.284000
288,71.259000
289,71.301000
290,71.271000
291,71.266000
292,71.267000
293,71.278000
294,71.270000
295,71.297000
296,71.281000
297,71.266000
298,71.260000
299,71.260000
