Time index,Mean pixel intensity difference
1,1.260000
2,1.289000
3,1.169000
4,1.199000
5,1.157000
6,1.175000
7,1.163000
8,1.160000
9,1.174000
10,1.163000
11,1.162000
12,1.159000
13,1.176000
14,1.194000
15,1.176000
16,1.172000
17,1.170000
18,1.164000
19,1.159000
20,1.164000
21,1.180000
22,1.166000
23,1.157000
24,1.163000
25,1.164000
26,1.162000
27,1.165000
28,1.171000
29,1.168000
30,1.165000
31,1.167000
32,1.158000
33,1.176000
34,1.165000
35,1.170000
36,1.185000
37,1.212000
38,1.206000
39,1.288000
40,1.187000
41,1.174000
42,1.174000
43,1.171000
44,1.169000
45,1.173000
46,1.208000
47,1.169000
48,1.169000
49,1.198000
50,1.162000
51,1.213000
52,1.170000
53,1.185000
54,1.189000
55,1.176000
56,1.167000
57,1.208000
58,1.201000
59,1.168000
60,1.184000
61,1.176000
62,1.181000
63,1.192000
64,1.181000
65,1.185000
66,1.432000
67,1.299000
68,1.315000
69,1.173000
70,1.177000
71,1.170000
72,1.170000
73,1.173000
74,1.304000
75,1.199000
76,1.234000
77,1.171000
78,1.182000
79,1.178000
80,1.292000
81,1.161000
82,1.166000
83,1.250000
84,1.160000
85,1.171000
86,1.218000
87,1.360000
88,1.294000
89,1.262000
90,1.169000
91,1.271000
92,1.179000
93,1.167000
94,1.170000
95,1.178000
96,1.163000
97,1.168000
98,1.170000
99,1.178000
100,1.207000
101,1.158000
102,1.163000
103,1.162000
104,1.395000
105,1.322000
106,1.179000
107,1.196000
108,1.171000
109,1.199000
110,1.216000
111,1.168000
112,1.277000
113,1.166000
114,1.162000
115,1.219000
116,1.365000
117,1.196000
118,1.174000
119,1.162000
120,1.161000
121,1.233000
122,1.165000
123,1.200000
124,1.151000
125,1.155000
126,1.163000
127,1.152000
128,1.152000
129,1.153000
130,1.162000
131,1.175000
132,1.169000
133,1.166000
134,1.179000
135,1.170000
136,1.157000
137,1.157000
138,1.161000
139,1.175000
140,1.146000
141,1.184000
142,1.161000
143,1.155000
144,1.157000
145,1.155000
146,1.164000
147,1.154000
148,1.157000
149,1.198000
150,1.186000
151,1.200000
152,1.169000
153,1.172000
154,1.169000
155,1.167000
156,1.158000
157,1.158000
158,1.175000
159,1.175000
160,1.229000
161,1.334000
162,1.341000
163,1.397000
164,1.172000
165,1.170000
166,1.171000
167,1.173000
168,1.177000
169,1.182000
170,1.214000
171,1.183000
172,1.191000
173,1.175000
174,1.961000
175,1.871000
176,1.185000
177,1.181000
178,1.375000
179,1.183000
180,1.181000
181,1.168000
182,1.182000
183,1.198000
184,1.174000
185,1.173000
186,1.173000
187,1.162000
188,1.216000
189,1.272000
190,1.450000
191,1.194000
192,1.220000
193,1.284000
194,1.186000
195,1.170000
196,1.185000
197,1.247000
198,1.217000
199,1.236000
200,1.181000
201,1.201000
202,1.165000
203,1.259000
204,1.166000
205,1.171000
206,1.180000
207,1.162000
208,1.172000
209,1.174000
210,1.170000
211,1.166000
212,1.168000
213,1.169000
214,1.171000
215,1.220000
216,1.198000
217,1.173000
218,1.187000
219,1.169000
220,1.185000
221,1.167000
222,1.161000
223,1.174000
224,1.163000
225,1.165000
226,1.168000
227,1.172000
228,1.170000
229,1.175000
230,1.165000
231,1.219000
232,1.177000
233,1.224000
234,1.178000
235,1.169000
236,1.155000
237,1.166000
238,1.171000
239,1.160000
240,1.175000
241,1.173000
242,1.184000
243,1.191000
244,1.173000
245,1.169000
246,1.173000
247,1.204000
248,1.161000
249,1.161000
250,1.183000
251,1.170000
252,1.180000
253,1.185000
254,1.172000
255,1.206000
256,1.184000
257,1.175000
258,1.179000
259,1.184000
260,1.179000
261,1.192000
262,1.180000
263,1.182000
264,1.182000
265,1.189000
266,1.182000
267,1.183000
268,1.183000
269,1.174000
270,1.181000
271,1.178000
272,1.199000
273,1.238000
274,1.193000
275,1.186000
276,1.195000
277,1.176000
278,1.304000
279,1.175000
280,1.191000
281,1.189000
282,1.275000
283,1.212000
284,1.207000
285,1.345000
286,1.202000
287,1.174000
288,1.181000
289,1.175000
290,1.250000
291,1.180000
292,1.225000
293,1.176000
294,1.180000
295,1.165000
296,1.172000
297,1.168000
298,1.174000
299,1.170000
