Time index,Max intensity
0,75
1,76
2,75
3,75
4,75
5,76
6,75
7,74
8,75
9,76
10,74
11,74
12,75
13,75
14,74
15,75
16,74
17,75
18,74
19,74
20,74
21,75
22,75
23,75
24,75
25,73
26,73
27,74
28,75
29,74
30,75
31,75
32,74
33,75
34,73
35,74
36,73
37,73
38,74
39,74
40,74
41,74
42,74
43,75
44,75
45,73
46,74
47,74
48,75
49,74
50,73
51,74
52,73
53,73
54,75
55,75
56,74
57,73
58,74
59,74
60,74
61,74
62,73
63,73
64,73
65,74
66,74
67,72
68,74
69,74
70,74
71,74
72,74
73,73
74,73
75,73
76,74
77,73
78,73
79,73
80,73
81,73
82,73
83,73
84,74
85,72
86,74
87,74
88,74
89,74
90,73
91,73
92,73
93,74
94,73
95,75
96,73
97,73
98,74
99,73
100,74
101,74
102,74
103,73
104,75
105,73
106,73
107,74
108,73
109,72
110,74
111,72
112,72
113,73
114,74
115,74
116,73
117,73
118,75
119,74
120,73
121,73
122,72
123,73
124,71
125,72
126,73
127,72
128,73
129,72
130,73
131,75
132,74
133,74
134,73
135,73
136,73
137,73
138,73
139,73
140,73
141,73
142,74
143,72
144,74
145,74
146,73
147,73
148,73
149,73
150,72
151,73
152,73
153,72
154,73
155,73
156,73
157,72
158,74
159,73
160,73
161,73
162,73
163,72
164,72
165,74
166,73
167,71
168,73
169,72
170,72
171,72
172,73
173,73
174,73
175,73
176,72
177,72
178,73
179,72
180,73
181,73
182,73
183,73
184,73
185,71
186,72
187,72
188,74
189,73
190,72
191,72
192,73
193,73
194,72
195,72
196,73
197,73
198,72
199,72
200,72
201,74
202,72
203,72
204,73
205,73
206,73
207,73
208,73
209,73
210,72
211,71
212,72
213,72
214,72
215,73
216,72
217,71
218,72
219,73
220,74
221,72
222,73
223,72
224,73
225,73
226,72
227,72
228,72
229,73
230,72
231,72
232,74
233,72
234,72
235,73
236,73
237,73
238,73
239,72
240,73
241,72
242,73
243,72
244,75
245,73
246,73
247,73
248,72
249,72
250,72
251,74
252,72
253,74
254,73
255,73
256,73
257,72
258,73
259,74
260,73
261,73
262,72
263,72
264,71
265,73
266,74
267,74
268,72
269,74
270,73
271,72
272,73
273,73
274,73
275,73
276,74
277,73
278,73
279,73
280,74
281,75
282,73
283,72
284,73
285,74
286,73
287,71
288,72
289,73
290,73
291,73
292,73
293,73
294,72
295,73
296,74
297,74
298,74
299,72
300,73
301,72
302,73
303,73
304,72
305,73
306,73
307,72
308,72
309,73
310,71
311,73
312,72
313,73
314,72
315,74
316,72
317,71
318,73
319,73
320,73
321,73
322,73
323,72
324,73
325,73
326,72
327,73
328,74
329,73
330,73
331,74
332,72
333,74
334,73
335,73
336,73
337,73
338,74
339,72
340,74
341,73
342,73
343,72
344,73
345,73
346,73
347,72
348,74
349,74
350,72
351,72
352,74
353,73
354,74
355,73
356,74
357,74
358,73
359,73
360,72
361,73
362,73
363,73
364,72
365,73
366,73
367,73
368,73
369,73
370,73
371,74
372,73
373,72
374,74
375,73
376,74
377,73
378,73
379,73
380,73
381,73
382,74
383,73
384,72
385,72
386,72
387,73
388,73
389,72
390,72
391,72
392,72
393,73
394,73
395,72
396,72
397,73
398,72
399,74
400,73
401,73
402,74
403,73
404,73
405,73
406,73
407,73
408,73
409,72
410,73
411,72
412,72
413,72
414,74
415,73
416,72
417,73
418,73
419,73
420,73
421,73
422,72
423,72
424,72
425,73
426,74
427,73
428,72
429,73
430,72
431,72
432,73
433,73
434,73
435,72
436,72
437,72
438,72
439,73
440,73
441,72
442,72
443,72
444,73
445,73
446,73
447,71
448,73
449,74
450,72
