Time index,Mean intensity
0,30.395000
1,30.399000
2,30.452000
3,30.490000
4,30.481000
5,30.485000
6,30.342000
7,30.398000
8,30.329000
9,30.348000
10,30.395000
11,30.359000
12,30.256000
13,30.261000
14,30.272000
15,30.309000
16,30.306000
17,30.391000
18,30.306000
19,30.352000
20,30.259000
21,30.237000
22,30.281000
23,30.309000
24,30.289000
25,30.276000
26,30.291000
27,30.243000
28,30.204000
29,30.279000
30,30.210000
31,30.117000
32,30.152000
33,30.152000
34,30.152000
35,30.142000
36,30.087000
37,30.132000
38,30.089000
39,30.069000
40,30.090000
41,30.126000
42,30.202000
43,30.196000
44,30.122000
45,30.040000
46,30.057000
47,30.044000
48,30.008000
49,30.057000
50,30.123000
51,30.118000
52,30.084000
53,30.066000
54,30.119000
55,30.120000
56,30.096000
57,30.073000
58,30.005000
59,30.065000
60,30.066000
61,30.034000
62,30.006000
63,29.963000
64,29.951000
65,30.015000
66,29.936000
67,29.902000
68,29.978000
69,29.991000
70,29.987000
71,30.068000
72,30.093000
73,30.000000
74,30.026000
75,29.935000
76,29.935000
77,29.952000
78,29.950000
79,29.951000
80,29.984000
81,29.998000
82,29.936000
83,29.939000
84,29.969000
85,29.926000
86,29.899000
87,30.036000
88,30.010000
89,29.993000
90,29.832000
91,29.873000
92,29.897000
93,29.944000
94,29.926000
95,29.981000
96,29.983000
97,29.966000
98,29.902000
99,29.835000
100,29.833000
101,29.883000
102,29.899000
103,29.961000
104,29.925000
105,29.946000
106,29.813000
107,29.805000
108,29.827000
109,29.792000
110,29.806000
111,29.743000
112,29.782000
113,29.867000
114,29.931000
115,29.926000
116,29.946000
117,29.939000
118,29.932000
119,29.828000
120,29.941000
121,29.844000
122,29.753000
123,29.808000
124,29.730000
125,29.770000
126,29.880000
127,29.906000
128,29.837000
129,29.774000
130,30.004000
131,29.973000
132,29.808000
133,29.828000
134,29.960000
135,29.834000
136,29.788000
137,29.895000
138,29.928000
139,29.820000
140,29.754000
141,29.857000
142,29.926000
143,29.892000
144,29.895000
145,29.802000
146,29.748000
147,29.772000
148,29.882000
149,29.746000
150,29.714000
151,29.767000
152,29.662000
153,29.521000
154,29.740000
155,29.775000
156,29.614000
157,29.612000
158,29.687000
159,29.643000
160,29.551000
161,29.627000
162,29.733000
163,29.670000
164,29.513000
165,29.752000
166,29.672000
167,29.550000
168,29.609000
169,29.694000
170,29.725000
171,29.699000
172,29.663000
173,29.593000
174,29.572000
175,29.649000
176,29.758000
177,29.777000
178,29.706000
179,29.630000
180,29.662000
181,29.557000
182,29.633000
183,29.622000
184,29.580000
185,29.626000
186,29.609000
187,29.664000
188,29.622000
189,29.669000
190,29.683000
191,29.655000
192,29.670000
193,29.678000
194,29.659000
195,29.788000
196,29.679000
197,29.743000
198,29.694000
199,29.642000
200,29.596000
201,29.674000
202,29.735000
203,29.716000
204,29.677000
205,29.782000
206,29.836000
207,29.724000
208,29.763000
209,29.722000
210,29.759000
211,29.786000
212,29.748000
213,29.770000
214,29.773000
215,29.772000
216,29.765000
217,29.808000
218,29.819000
219,29.835000
220,29.892000
221,29.897000
222,29.926000
223,29.951000
224,29.939000
225,29.944000
226,29.921000
227,29.815000
228,29.847000
229,29.756000
230,29.725000
231,29.732000
232,29.834000
233,29.899000
234,29.815000
235,29.914000
236,29.921000
237,29.870000
238,29.934000
239,29.959000
240,29.982000
241,29.843000
242,29.847000
243,29.837000
244,29.809000
245,29.858000
246,29.991000
247,29.932000
248,29.926000
249,29.797000
250,29.861000
251,29.833000
252,29.965000
253,29.957000
254,29.998000
255,29.988000
256,30.064000
257,30.006000
258,30.010000
259,29.953000
260,29.924000
261,29.901000
262,29.831000
263,29.918000
264,29.847000
265,29.915000
266,29.890000
267,29.999000
268,30.011000
269,30.066000
270,30.031000
271,29.976000
272,29.914000
273,29.882000
274,29.966000
275,29.996000
276,30.111000
277,30.067000
278,30.082000
279,30.095000
280,30.102000
281,30.128000
282,30.076000
283,30.117000
284,30.044000
285,30.015000
286,30.007000
287,29.931000
288,29.929000
289,30.062000
290,30.065000
291,30.034000
292,29.955000
293,29.900000
294,29.972000
295,29.959000
296,29.944000
297,29.983000
298,30.047000
299,30.035000
300,30.039000
301,29.987000
302,29.998000
303,29.861000
304,29.932000
305,29.887000
306,29.847000
307,29.884000
308,29.821000
309,29.827000
310,29.847000
311,29.873000
312,29.864000
313,29.974000
314,29.914000
315,29.975000
316,29.928000
317,29.868000
318,29.954000
319,29.951000
320,29.901000
321,29.832000
322,29.925000
323,29.860000
324,29.865000
325,29.867000
326,29.863000
327,29.843000
328,29.942000
329,29.870000
330,30.061000
331,30.016000
332,29.998000
333,29.887000
334,29.869000
335,29.939000
336,29.989000
337,30.076000
338,30.072000
339,30.085000
340,30.048000
341,30.070000
342,30.050000
343,30.012000
344,30.049000
345,30.036000
346,30.044000
347,30.103000
348,30.070000
349,30.068000
350,30.019000
351,29.946000
352,29.943000
353,29.885000
354,29.880000
355,29.907000
356,29.874000
357,29.942000
358,29.946000
359,30.048000
360,30.038000
361,30.070000
362,30.010000
363,29.980000
364,29.846000
365,29.876000
366,29.916000
367,30.075000
368,30.062000
369,30.019000
370,29.953000
371,29.905000
372,29.765000
373,29.761000
