Time index,Mean pixel intensity difference
1,0.519000
2,0.528000
3,0.518000
4,0.508000
5,0.508000
6,0.527000
7,0.510000
8,0.513000
9,0.522000
10,0.515000
11,0.509000
12,0.515000
13,0.510000
14,0.510000
15,0.509000
16,0.514000
17,0.519000
18,0.526000
19,0.511000
20,0.516000
21,0.505000
22,0.508000
23,0.515000
24,0.518000
25,0.523000
26,0.520000
27,0.525000
28,0.509000
29,0.525000
30,0.513000
31,0.517000
32,0.523000
33,0.517000
34,0.508000
35,0.507000
36,0.509000
37,0.506000
38,0.518000
39,0.517000
40,0.522000
41,0.515000
42,0.513000
43,0.512000
44,0.513000
45,0.510000
46,0.510000
47,0.521000
48,0.520000
49,0.517000
50,0.514000
51,0.511000
52,0.513000
53,0.516000
54,0.524000
55,0.530000
56,0.527000
57,0.511000
58,0.507000
59,0.506000
60,0.505000
61,0.504000
62,0.508000
63,0.511000
64,0.502000
65,0.502000
66,0.514000
67,0.503000
68,0.504000
69,0.512000
70,0.506000
71,0.513000
72,0.505000
73,0.508000
74,0.505000
75,0.505000
76,0.501000
77,0.508000
78,0.507000
79,0.503000
80,0.500000
81,0.504000
82,0.501000
83,0.497000
84,0.502000
85,0.511000
86,0.509000
87,0.517000
88,0.501000
89,0.512000
90,0.515000
91,0.497000
92,0.498000
93,0.506000
94,0.502000
95,0.504000
96,0.502000
97,0.516000
98,0.510000
99,0.505000
100,0.513000
101,0.524000
102,0.512000
103,0.506000
104,0.502000
105,0.520000
106,0.512000
107,0.503000
108,0.506000
109,0.510000
110,0.497000
111,0.498000
112,0.502000
113,0.505000
114,0.503000
115,0.505000
116,0.525000
117,0.508000
118,0.500000
119,0.529000
120,0.533000
121,0.641000
122,0.512000
123,0.539000
124,0.570000
125,0.534000
126,0.509000
127,0.504000
128,0.504000
129,0.563000
130,0.558000
131,0.509000
132,0.521000
133,0.500000
134,0.511000
135,0.509000
136,0.501000
137,0.503000
138,0.505000
139,0.514000
140,0.509000
141,0.502000
142,0.494000
143,0.494000
144,0.500000
145,0.514000
146,0.514000
147,0.505000
148,0.510000
149,0.509000
150,0.498000
151,0.505000
152,0.503000
153,0.512000
154,0.536000
155,0.503000
156,0.511000
157,0.491000
158,0.497000
159,0.512000
160,0.516000
161,0.502000
162,0.536000
163,0.509000
164,0.513000
165,0.537000
166,0.504000
167,0.524000
168,0.509000
169,0.511000
170,0.511000
171,0.510000
172,0.504000
173,0.504000
174,0.503000
175,0.506000
176,0.524000
177,0.512000
178,0.511000
179,0.507000
180,0.501000
181,0.515000
182,0.506000
183,0.502000
184,0.510000
185,0.511000
186,0.512000
187,0.503000
188,0.503000
189,0.507000
190,0.506000
191,0.503000
192,0.504000
193,0.504000
194,0.510000
195,0.522000
196,0.510000
197,0.538000
198,0.523000
199,0.550000
200,0.529000
201,0.522000
202,0.512000
203,0.502000
204,0.505000
205,0.512000
206,0.505000
207,0.518000
208,0.514000
209,0.507000
210,0.511000
211,0.506000
212,0.507000
213,0.504000
214,0.511000
215,0.516000
216,0.509000
217,0.506000
218,0.507000
219,0.511000
220,0.506000
221,0.585000
222,0.512000
223,0.527000
224,0.513000
225,0.509000
226,0.522000
227,0.516000
228,0.506000
229,0.520000
230,0.516000
231,0.510000
232,0.513000
233,0.513000
234,0.510000
235,0.513000
236,0.512000
237,0.516000
238,0.512000
239,0.507000
240,0.505000
241,0.526000
242,0.516000
243,0.506000
244,0.507000
245,0.515000
246,0.526000
247,0.518000
248,0.509000
249,0.526000
250,0.511000
251,0.508000
252,0.518000
253,0.519000
254,0.518000
255,0.514000
256,0.513000
257,0.513000
258,0.509000
259,0.511000
260,0.511000
261,0.511000
262,0.517000
263,0.517000
264,0.514000
265,0.514000
266,0.508000
267,0.516000
268,0.514000
269,0.521000
270,0.520000
271,0.512000
272,0.511000
273,0.515000
274,0.514000
275,0.509000
276,0.520000
277,0.515000
278,0.514000
279,0.513000
280,0.513000
281,0.516000
282,0.513000
283,0.519000
284,0.524000
285,0.513000
286,0.539000
287,0.520000
288,0.527000
289,0.524000
290,0.510000
291,0.517000
292,0.524000
293,0.515000
294,0.513000
295,0.521000
296,0.515000
297,0.515000
298,0.519000
299,0.517000
300,0.517000
301,0.520000
302,0.516000
303,0.537000
304,0.583000
305,0.552000
306,0.513000
307,0.529000
308,0.524000
309,0.514000
310,0.516000
311,0.514000
312,0.515000
313,0.524000
314,0.523000
315,0.523000
316,0.519000
317,0.518000
318,0.527000
319,0.527000
320,0.532000
321,0.534000
322,0.528000
323,0.526000
324,0.521000
325,0.515000
326,0.525000
327,0.518000
328,0.521000
329,0.524000
330,0.555000
331,0.605000
332,0.521000
333,0.553000
334,0.523000
335,0.530000
336,0.521000
337,0.524000
338,0.520000
339,0.519000
340,0.528000
341,0.558000
342,0.524000
343,0.529000
344,0.575000
345,0.534000
346,0.530000
347,0.527000
348,0.545000
349,0.527000
350,0.522000
351,0.528000
352,0.526000
353,0.527000
354,0.524000
355,0.530000
356,0.530000
357,0.528000
358,0.521000
359,0.529000
360,0.526000
361,0.525000
362,0.530000
363,0.527000
364,0.534000
365,0.517000
366,0.519000
367,0.534000
368,0.518000
369,0.519000
370,0.528000
371,0.529000
372,0.536000
373,0.516000
374,0.515000
375,0.535000
376,0.516000
377,0.514000
378,0.523000
379,0.520000
380,0.517000
381,0.526000
382,0.515000
383,0.524000
384,0.520000
385,0.519000
386,0.536000
387,0.516000
388,0.511000
389,0.514000
390,0.515000
391,0.511000
392,0.513000
393,0.517000
394,0.525000
395,0.523000
396,0.513000
397,0.508000
398,0.512000
399,0.507000
400,0.509000
401,0.522000
402,0.518000
403,0.517000
404,0.540000
405,0.511000
406,0.513000
407,0.513000
408,0.515000
409,0.522000
410,0.519000
411,0.517000
412,0.534000
413,0.550000
414,0.516000
415,0.577000
416,0.613000
417,0.531000
418,0.549000
419,0.526000
420,0.518000
421,0.542000
422,0.524000
423,0.525000
424,0.526000
425,0.521000
426,0.507000
427,0.510000
428,0.517000
429,0.525000
430,0.549000
431,0.537000
432,0.515000
433,0.516000
434,0.511000
435,0.521000
436,0.522000
437,0.506000
438,0.518000
439,0.524000
440,0.528000
441,0.540000
442,0.519000
443,0.529000
444,0.516000
445,0.514000
446,0.530000
447,0.526000
448,0.520000
449,0.526000
450,0.513000
