Time index,Max intensity
0,169
1,172
2,169
3,171
4,172
5,172
6,175
7,176
8,174
9,177
10,175
11,173
12,175
13,174
14,176
15,174
16,178
17,179
18,173
19,176
20,176
21,172
22,175
23,174
24,178
25,176
26,169
27,170
28,175
29,190
30,182
31,174
32,183
33,178
34,175
35,170
36,179
37,176
38,174
39,171
40,175
41,171
42,172
43,173
44,176
45,174
46,172
47,176
48,175
49,170
50,177
51,176
52,179
53,171
54,171
55,174
56,176
57,175
58,173
59,179
60,178
61,177
62,175
63,176
64,170
65,170
66,174
67,174
68,177
69,173
70,175
71,176
72,174
73,175
74,175
75,174
76,171
77,176
78,176
79,172
80,172
81,174
82,177
83,176
84,175
85,175
86,171
87,173
88,173
89,172
90,173
91,171
92,174
93,171
94,172
95,170
96,172
97,173
98,167
99,170
100,173
101,169
102,173
103,171
104,170
105,171
106,167
107,168
108,172
109,172
110,169
111,172
112,176
113,176
114,174
115,173
116,176
117,174
118,175
119,175
120,174
121,175
122,171
123,172
124,171
125,172
126,171
127,172
128,174
129,171
130,170
131,172
132,172
133,173
134,173
135,177
136,176
137,175
138,173
139,174
140,171
141,172
142,171
143,170
144,171
145,173
146,171
147,174
148,171
149,173
150,173
151,173
152,174
153,175
154,173
155,171
156,174
157,174
158,173
159,171
160,175
161,171
162,173
163,176
164,177
165,174
166,177
167,175
168,172
169,179
170,177
171,171
172,175
173,175
174,172
175,173
176,176
177,169
178,174
179,170
180,172
181,172
182,174
183,174
184,170
185,174
186,172
187,175
188,176
189,171
190,172
191,171
192,169
193,169
194,174
195,173
196,174
197,173
198,176
199,171
200,176
201,173
202,176
203,172
204,167
205,174
206,172
207,172
208,173
209,168
210,173
211,174
212,168
213,168
214,172
215,168
216,172
217,175
218,176
219,172
220,178
221,171
222,173
223,174
224,174
225,177
226,175
227,175
228,173
229,171
230,173
231,171
232,169
233,170
234,171
235,171
236,175
237,174
238,174
239,174
240,178
241,177
242,175
243,174
244,172
245,171
246,172
247,171
248,173
249,174
250,172
251,172
252,173
253,172
254,168
255,178
256,176
257,169
258,174
259,172
260,172
261,171
262,174
263,174
264,174
265,174
266,170
267,171
268,175
269,173
270,170
271,169
272,170
273,174
274,173
275,175
276,171
277,170
278,170
279,170
280,172
281,173
282,174
283,176
284,177
285,174
286,173
287,175
288,175
289,175
290,175
291,170
292,171
293,176
294,172
295,178
296,177
297,174
298,176
299,173
