Time index,Mean pixel intensity difference
1,1.740000
2,1.728000
3,1.717000
4,1.758000
5,1.726000
6,1.725000
7,1.734000
8,1.729000
9,1.747000
10,1.768000
11,1.749000
12,1.869000
13,1.756000
14,1.741000
15,1.729000
16,1.730000
17,1.719000
18,1.740000
19,1.730000
20,1.735000
21,1.728000
22,1.734000
23,1.706000
24,1.708000
25,1.705000
26,1.718000
27,1.718000
28,1.735000
29,1.732000
30,1.734000
31,1.738000
32,1.720000
33,1.729000
34,1.717000
35,1.777000
36,1.795000
37,1.739000
38,1.744000
39,1.712000
40,1.706000
41,1.711000
42,1.699000
43,1.696000
44,1.684000
45,1.689000
46,1.682000
47,1.686000
48,1.684000
49,1.683000
50,1.683000
51,1.671000
52,1.688000
53,1.671000
54,1.678000
55,1.692000
56,1.682000
57,1.693000
58,1.692000
59,1.680000
60,1.659000
61,1.678000
62,1.671000
63,1.684000
64,1.685000
65,1.667000
66,1.674000
67,1.658000
68,1.663000
69,1.660000
70,1.660000
71,1.672000
72,1.661000
73,1.657000
74,1.689000
75,1.669000
76,1.671000
77,1.664000
78,1.690000
79,1.683000
80,1.700000
81,1.693000
82,1.710000
83,1.706000
84,1.724000
85,1.724000
86,1.730000
87,1.732000
88,1.736000
89,1.735000
90,1.742000
91,1.745000
92,1.737000
93,1.736000
94,1.738000
95,1.742000
96,1.746000
97,1.737000
98,1.740000
99,1.737000
100,1.733000
101,1.738000
102,1.728000
103,1.728000
104,1.726000
105,1.727000
106,1.703000
107,1.708000
108,1.710000
109,1.718000
110,1.713000
111,1.709000
112,1.711000
113,1.691000
114,1.702000
115,1.681000
116,1.689000
117,1.692000
118,1.682000
119,1.694000
120,1.684000
121,1.685000
122,1.694000
123,1.705000
124,1.700000
125,1.692000
126,1.704000
127,1.705000
128,1.719000
129,1.697000
130,1.727000
131,1.712000
132,1.726000
133,1.708000
134,1.716000
135,1.716000
136,1.707000
137,1.729000
138,1.725000
139,1.712000
140,1.712000
141,1.714000
142,1.685000
143,1.694000
144,1.683000
145,1.725000
146,1.715000
147,1.728000
148,1.710000
149,1.887000
150,1.798000
151,1.726000
152,1.742000
153,1.716000
154,1.805000
155,1.707000
156,1.754000
157,1.704000
158,1.698000
159,1.682000
160,1.763000
161,1.717000
162,1.701000
163,1.770000
164,1.747000
165,1.715000
166,1.720000
167,1.710000
168,1.719000
169,1.715000
170,1.706000
171,1.684000
172,1.738000
173,1.719000
174,1.721000
175,1.714000
176,1.717000
177,1.722000
178,1.711000
179,1.702000
180,1.732000
181,1.720000
182,1.683000
183,1.707000
184,1.714000
185,1.715000
186,1.716000
187,1.710000
188,1.707000
189,1.728000
190,1.710000
191,1.716000
192,1.713000
193,1.717000
194,1.724000
195,1.729000
196,1.722000
197,1.712000
198,1.718000
199,1.733000
200,1.728000
201,1.713000
202,1.711000
203,1.708000
204,1.736000
205,1.728000
206,1.713000
207,1.720000
208,1.715000
209,1.719000
210,1.725000
211,1.713000
212,1.704000
213,1.706000
214,1.703000
215,1.708000
216,1.714000
217,1.710000
218,1.716000
219,1.695000
220,1.695000
221,1.695000
222,1.700000
223,1.678000
224,1.672000
225,1.680000
226,1.700000
227,1.708000
228,1.698000
229,1.682000
230,1.697000
231,1.693000
232,1.687000
233,1.694000
234,1.698000
235,1.699000
236,1.708000
237,1.693000
238,1.692000
239,1.690000
240,1.748000
241,1.704000
242,1.704000
243,1.695000
244,1.736000
245,1.725000
246,1.699000
247,1.712000
248,1.701000
249,1.708000
250,1.764000
251,1.691000
252,1.691000
253,1.707000
254,1.704000
255,1.688000
256,1.683000
257,1.689000
258,1.691000
259,1.691000
260,1.697000
261,1.683000
262,1.700000
263,1.683000
264,1.693000
265,1.692000
266,1.685000
267,1.693000
268,1.704000
269,1.688000
270,1.684000
271,1.693000
272,1.688000
273,1.741000
274,1.713000
275,1.713000
276,1.713000
277,1.712000
278,1.708000
279,1.723000
280,1.774000
281,1.758000
282,1.756000
283,1.720000
284,1.686000
285,1.734000
286,1.729000
287,1.740000
288,1.733000
289,1.745000
290,1.811000
291,1.859000
292,1.737000
293,1.791000
294,1.749000
295,1.730000
296,1.753000
297,1.724000
298,1.751000
299,1.747000
