Time index,Max intensity
0,157
1,159
2,157
3,156
4,158
5,157
6,158
7,158
8,158
9,158
10,158
11,158
12,158
13,158
14,157
15,157
16,157
17,159
18,159
19,157
20,160
21,156
22,159
23,160
24,156
25,157
26,159
27,157
28,158
29,156
30,158
31,158
32,157
33,159
34,158
35,158
36,156
37,154
38,156
39,156
40,158
41,158
42,156
43,156
44,157
45,156
46,158
47,156
48,157
49,156
50,157
51,158
52,156
53,158
54,156
55,156
56,159
57,157
58,158
59,158
60,158
61,158
62,156
63,158
64,158
65,159
66,158
67,157
68,156
69,156
70,158
71,158
72,158
73,155
74,158
75,156
76,156
77,156
78,158
79,157
80,156
81,156
82,157
83,155
84,160
85,158
86,157
87,157
88,157
89,156
90,159
91,158
92,157
93,157
94,159
95,157
96,157
97,156
98,158
99,156
100,157
101,156
102,157
103,157
104,158
105,155
106,157
107,157
108,157
109,157
110,158
111,154
112,158
113,154
114,159
115,155
116,157
117,155
118,158
119,156
120,159
121,157
122,156
123,156
124,158
125,155
126,158
127,157
128,158
129,156
130,155
131,159
132,158
133,156
134,159
135,156
136,157
137,157
138,158
139,156
140,158
141,168
142,161
143,158
144,157
145,156
146,159
147,157
148,159
149,156
150,157
151,156
152,158
153,159
154,159
155,154
156,158
157,156
158,157
159,157
160,158
161,156
162,158
163,157
164,158
165,157
166,157
167,157
168,159
169,157
170,157
171,157
172,157
173,158
174,157
175,155
176,156
177,156
178,160
179,157
180,156
181,156
182,157
183,157
184,157
185,156
186,156
187,159
188,157
189,156
190,155
191,156
192,157
193,159
194,157
195,157
196,158
197,159
198,156
199,156
200,158
201,158
202,158
203,158
204,158
205,155
206,159
207,159
208,155
209,157
210,158
211,156
212,157
213,157
214,157
215,158
216,157
217,158
218,156
219,157
220,157
221,156
222,156
223,158
224,157
225,156
226,156
227,156
228,156
229,157
230,157
231,158
232,158
233,157
234,158
235,157
236,156
237,158
238,156
239,156
240,156
241,156
242,157
243,157
244,155
245,157
246,156
247,157
248,158
249,156
250,156
251,159
252,157
253,158
254,158
255,157
256,156
257,156
258,155
259,157
260,157
261,157
262,158
263,156
264,157
265,157
266,157
267,158
268,158
269,159
270,156
271,158
272,157
273,158
274,158
275,157
276,157
277,159
278,157
279,159
280,156
281,158
282,156
283,159
284,158
285,159
286,158
287,157
288,157
289,159
290,157
291,157
292,158
293,159
294,157
295,159
296,157
297,156
298,156
299,157
