Time index,Mean intensity
0,48.018000
1,47.718000
2,47.881000
3,47.865000
4,47.896000
5,47.776000
6,47.902000
7,47.964000
8,47.977000
9,48.005000
10,47.916000
11,47.801000
12,47.627000
13,47.691000
14,47.975000
15,47.988000
16,47.955000
17,47.875000
18,47.589000
19,47.602000
20,47.758000
21,47.635000
22,47.921000
23,47.822000
24,47.934000
25,47.904000
26,47.860000
27,47.861000
28,47.923000
29,47.798000
30,47.912000
31,47.904000
32,47.830000
33,47.650000
34,47.661000
35,47.649000
36,47.914000
37,47.916000
38,47.879000
39,47.840000
40,47.844000
41,47.540000
42,47.838000
43,47.680000
44,47.527000
45,47.506000
46,47.581000
47,47.785000
48,47.708000
49,47.874000
50,47.878000
51,47.833000
52,47.877000
53,47.434000
54,47.722000
55,47.631000
56,47.636000
57,47.553000
58,47.544000
59,47.567000
60,47.456000
61,47.557000
62,47.686000
63,47.732000
64,47.548000
65,47.752000
66,47.482000
67,47.520000
68,47.447000
69,47.499000
70,47.496000
71,47.589000
72,47.757000
73,47.545000
74,47.719000
75,47.790000
76,47.810000
77,47.830000
78,47.845000
79,47.805000
80,47.775000
81,47.767000
82,47.814000
83,47.729000
84,47.779000
85,47.760000
86,47.680000
87,47.685000
88,47.558000
89,47.434000
90,47.442000
91,47.544000
92,47.637000
93,47.674000
94,47.475000
95,47.681000
96,47.468000
97,47.477000
98,47.564000
99,47.633000
100,47.598000
101,47.770000
102,47.838000
103,47.765000
104,47.750000
105,47.430000
106,47.522000
107,47.492000
108,47.800000
109,47.792000
110,47.858000
111,47.830000
112,47.823000
113,47.823000
114,47.831000
115,47.849000
116,47.744000
117,47.808000
118,47.769000
119,47.762000
120,47.476000
121,47.456000
122,47.427000
123,47.579000
124,47.690000
125,47.613000
126,47.595000
127,47.567000
128,47.599000
129,47.684000
130,47.854000
131,47.858000
132,47.863000
133,47.844000
134,47.502000
135,47.500000
136,47.524000
137,47.591000
138,47.470000
139,47.774000
140,47.766000
141,47.844000
142,47.810000
143,47.833000
144,47.786000
145,47.441000
146,47.767000
147,47.852000
148,47.431000
149,47.421000
150,47.867000
151,47.814000
152,47.383000
153,47.533000
154,47.796000
155,47.786000
156,47.874000
157,47.871000
158,47.847000
159,47.553000
160,47.474000
161,47.388000
162,47.414000
163,47.418000
164,47.454000
165,47.349000
166,47.563000
167,47.445000
168,47.810000
169,47.730000
170,47.763000
171,47.686000
172,47.515000
173,47.395000
174,47.718000
175,47.646000
176,47.757000
177,47.761000
178,47.686000
179,47.617000
180,47.633000
181,47.703000
182,47.635000
183,47.681000
184,47.669000
185,47.591000
186,47.432000
187,47.351000
188,47.368000
189,47.212000
190,47.377000
191,47.438000
192,47.638000
193,47.655000
194,47.679000
195,47.663000
196,47.648000
197,47.668000
198,47.646000
199,47.569000
200,47.573000
201,47.304000
202,47.217000
203,47.195000
204,47.158000
205,47.156000
206,47.254000
207,47.208000
208,47.172000
209,47.164000
210,47.541000
211,47.231000
212,47.593000
213,47.642000
214,47.645000
215,47.633000
216,47.597000
217,47.416000
218,47.622000
219,47.632000
220,47.655000
221,47.652000
222,47.635000
223,47.562000
224,47.464000
225,47.564000
226,47.404000
227,47.108000
228,47.040000
229,47.250000
230,47.173000
231,47.378000
232,47.481000
233,47.177000
234,47.390000
235,47.329000
236,47.164000
237,47.181000
238,47.063000
239,47.121000
240,47.018000
241,47.106000
242,47.206000
243,47.087000
244,47.348000
245,47.406000
246,47.476000
247,47.420000
248,47.208000
249,47.131000
250,47.026000
251,46.986000
252,47.059000
253,47.094000
254,46.986000
255,47.207000
256,47.103000
257,47.004000
258,47.065000
259,47.167000
260,47.239000
261,47.193000
262,47.274000
263,47.027000
264,47.019000
265,47.103000
266,47.094000
267,47.184000
268,47.136000
269,47.442000
270,47.456000
271,47.356000
272,47.303000
273,47.087000
274,47.266000
275,47.198000
276,47.248000
277,47.196000
278,47.449000
279,47.310000
280,47.562000
281,47.460000
282,47.576000
283,47.077000
284,47.075000
285,47.583000
286,47.437000
287,47.214000
288,47.433000
289,47.187000
290,47.272000
291,47.559000
292,47.557000
293,47.151000
294,47.197000
295,47.556000
296,47.476000
297,47.144000
298,47.423000
299,47.546000
