Time index,Proportion of dense image blocks
0,0.047000
1,0.047000
2,0.047000
3,0.047000
4,0.047000
5,0.047000
6,0.047000
7,0.047000
8,0.047000
9,0.047000
10,0.047000
11,0.047000
12,0.031000
13,0.031000
14,0.047000
15,0.047000
16,0.031000
17,0.031000
18,0.031000
19,0.031000
20,0.031000
21,0.031000
22,0.031000
23,0.031000
24,0.031000
25,0.031000
26,0.031000
27,0.031000
28,0.031000
29,0.031000
30,0.031000
31,0.031000
32,0.031000
33,0.031000
34,0.031000
35,0.031000
36,0.031000
37,0.031000
38,0.031000
39,0.031000
40,0.031000
41,0.031000
42,0.031000
43,0.031000
44,0.031000
45,0.031000
46,0.031000
47,0.031000
48,0.031000
49,0.031000
50,0.031000
51,0.031000
52,0.031000
53,0.031000
54,0.031000
55,0.031000
56,0.031000
57,0.031000
58,0.031000
59,0.031000
60,0.031000
61,0.031000
62,0.031000
63,0.031000
64,0.031000
65,0.031000
66,0.031000
67,0.016000
68,0.016000
69,0.016000
70,0.016000
71,0.016000
72,0.016000
73,0.016000
74,0.016000
75,0.016000
76,0.016000
77,0.016000
78,0.016000
79,0.016000
80,0.031000
81,0.031000
82,0.031000
83,0.016000
84,0.016000
85,0.031000
86,0.031000
87,0.031000
88,0.016000
89,0
90,0
91,0
92,0
93,0.016000
94,0.016000
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0.016000
211,0.016000
212,0.016000
213,0.016000
214,0.016000
215,0.016000
216,0.016000
217,0.016000
218,0.016000
219,0.016000
220,0.016000
221,0.016000
222,0.016000
223,0.016000
224,0.016000
225,0.016000
226,0.016000
227,0.016000
228,0.016000
229,0.016000
230,0.016000
231,0.016000
232,0.016000
233,0.016000
234,0.016000
235,0.016000
236,0.016000
237,0.016000
238,0.031000
239,0.031000
240,0.016000
241,0.016000
242,0.016000
243,0.016000
244,0.016000
245,0.016000
246,0.016000
247,0.016000
248,0.031000
249,0.031000
250,0.031000
251,0.031000
252,0.031000
253,0.031000
254,0.031000
255,0.031000
256,0.031000
257,0.031000
258,0.047000
259,0.047000
260,0.047000
261,0.047000
262,0.047000
263,0.047000
264,0.047000
265,0.047000
266,0.047000
267,0.047000
268,0.047000
269,0.047000
270,0.047000
271,0.047000
272,0.047000
273,0.062000
274,0.047000
275,0.047000
276,0.047000
277,0.047000
278,0.047000
279,0.047000
280,0.047000
281,0.047000
282,0.047000
283,0.047000
284,0.047000
285,0.047000
286,0.047000
287,0.047000
288,0.062000
289,0.062000
290,0.062000
291,0.062000
292,0.062000
293,0.047000
294,0.047000
295,0.047000
296,0.062000
297,0.062000
298,0.062000
299,0.062000
