Time index,Mean pixel intensity difference
1,0.675000
2,0.677000
3,0.676000
4,0.700000
5,0.734000
6,0.740000
7,0.720000
8,0.688000
9,0.675000
10,0.672000
11,0.676000
12,0.707000
13,0.705000
14,0.674000
15,0.715000
16,0.688000
17,0.691000
18,0.688000
19,0.728000
20,0.751000
21,0.705000
22,0.686000
23,0.680000
24,0.671000
25,0.688000
26,0.694000
27,0.715000
28,0.722000
29,0.682000
30,0.689000
31,0.687000
32,0.760000
33,0.760000
34,0.788000
35,0.773000
36,0.713000
37,0.719000
38,0.673000
39,0.724000
40,0.757000
41,0.779000
42,0.739000
43,0.729000
44,0.694000
45,0.700000
46,0.723000
47,0.755000
48,0.745000
49,0.734000
50,0.696000
51,0.678000
52,0.700000
53,0.709000
54,0.739000
55,0.794000
56,0.748000
57,0.722000
58,0.692000
59,0.693000
60,0.718000
61,0.738000
62,0.776000
63,0.736000
64,0.705000
65,0.851000
66,0.799000
67,0.733000
68,0.764000
69,0.842000
70,0.948000
71,0.715000
72,0.707000
73,0.716000
74,0.713000
75,0.726000
76,0.752000
77,0.762000
78,0.737000
79,0.704000
80,0.701000
81,0.710000
82,0.725000
83,0.799000
84,0.790000
85,0.727000
86,0.771000
87,0.931000
88,0.724000
89,0.790000
90,0.755000
91,0.750000
92,0.736000
93,0.707000
94,0.757000
95,0.720000
96,0.731000
97,0.732000
98,0.731000
99,0.716000
100,0.692000
101,0.698000
102,0.698000
103,0.697000
104,0.720000
105,0.818000
106,1.143000
107,0.856000
108,0.915000
109,0.806000
110,0.735000
111,0.716000
112,0.716000
113,0.715000
114,0.709000
115,0.711000
116,0.725000
117,0.702000
118,0.720000
119,0.798000
120,0.710000
121,0.754000
122,0.833000
123,0.739000
124,0.728000
125,0.712000
126,0.726000
127,0.777000
128,0.708000
129,0.723000
130,0.708000
131,0.740000
132,0.727000
133,0.739000
134,0.719000
135,0.723000
136,0.707000
137,0.719000
138,0.707000
139,0.767000
140,0.714000
141,0.714000
142,0.726000
143,0.754000
144,0.752000
145,0.751000
146,0.722000
147,0.721000
148,0.714000
149,0.716000
150,0.782000
151,0.757000
152,0.739000
153,0.817000
154,0.722000
155,0.723000
156,0.755000
157,0.784000
158,0.741000
159,0.791000
160,0.694000
161,0.744000
162,0.706000
163,0.734000
164,0.717000
165,0.759000
166,0.799000
167,0.774000
168,0.715000
169,0.748000
170,0.764000
171,0.775000
172,0.761000
173,0.776000
174,0.734000
175,0.722000
176,0.715000
177,0.723000
178,0.730000
179,0.774000
180,0.773000
181,0.799000
182,0.714000
183,0.738000
184,0.701000
185,0.711000
186,0.735000
187,0.735000
188,0.709000
189,0.709000
190,0.705000
191,0.721000
192,0.775000
193,0.745000
194,0.746000
195,0.732000
196,0.701000
197,0.720000
198,0.700000
199,0.699000
200,0.727000
201,0.785000
202,0.755000
203,0.722000
204,0.710000
205,0.700000
206,0.716000
207,0.739000
208,0.776000
209,0.770000
210,0.735000
211,0.713000
212,0.746000
213,0.707000
214,0.740000
215,0.770000
216,0.760000
217,0.736000
218,0.705000
219,0.695000
220,0.700000
221,0.734000
222,0.756000
223,0.750000
224,0.708000
225,0.715000
226,0.730000
227,0.721000
228,0.741000
229,0.768000
230,0.752000
231,0.744000
232,0.703000
233,0.705000
234,0.706000
235,0.752000
236,0.814000
237,0.765000
238,0.765000
239,0.753000
240,0.710000
241,0.752000
242,0.777000
243,0.808000
244,0.805000
245,0.785000
246,0.733000
247,0.731000
248,0.716000
249,0.718000
250,0.786000
251,0.783000
252,0.747000
253,0.730000
254,0.730000
255,0.705000
256,0.758000
257,0.743000
258,0.748000
259,0.745000
260,0.719000
261,0.707000
262,0.705000
263,0.715000
264,0.759000
265,0.796000
266,0.764000
267,0.723000
268,0.684000
269,0.702000
270,0.740000
271,0.717000
272,0.750000
273,0.732000
274,0.705000
275,0.704000
276,0.715000
277,0.725000
278,0.750000
279,0.772000
280,0.732000
281,0.713000
282,0.697000
283,0.734000
284,0.717000
285,0.711000
286,0.797000
287,0.729000
288,0.719000
289,0.690000
290,0.692000
291,0.709000
292,0.718000
293,0.762000
294,0.760000
295,0.746000
296,0.773000
297,0.712000
298,0.727000
299,0.714000
